objectid,filename,title,creator,date,description,subject,source,Publisher,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
C1,C1.jpg,Steak with gnocchi and green beans,S Silva,unknown,A recipe for steak with gnocchi and green beans,recipe,Digitized from personal collection,Real Simple,C1,Image;StillImage,image/jpeg,English,Copyright held by original creator. Contact for permissions.,https://rightsstatements.org/page/CNE/1.0/?language=en,image,/objects/c1.jpg,/objects/c1.jpg,/objects/c1.jpg,alt,
C2,C2.jpg,Beer-braised shrimp with radicchio salad,S Silva,unknown,A recipe for beer-braised shrimp with radicchio salad,recipe,Digitized from personal collection,Real Simple,C2,Image;StillImage,image/jpeg,English,Copyright held by original creator. Contact for permissions.,https://rightsstatements.org/page/CNE/1.0/?language=en,image,/objects/c2.jpg,/objects/c2.jpg,/objects/c2.jpg,alt,
C3,C3.jpg,Mushroom white pizza,S Silva,unknown,A recipe for mushroom white pizza,recipe,Digitized from personal collection,Real Simple,C3,Image;StillImage,image/jpeg,English,Copyright held by original creator. Contact for permissions.,https://rightsstatements.org/page/CNE/1.0/?language=en,image,/objects/c3.jpg,/objects/c3.jpg,/objects/c3.jpg,alt,
C4,C4.jpg,Edamame pasta salad,S Silva,unknown,A recipe for edamame pasta salad,recipe,Digitized from personal collection,Real Simple,C4,Image;StillImage,image/jpeg,English,Copyright held by original creator. Contact for permissions.,https://rightsstatements.org/page/CNE/1.0/?language=en,image,/objects/c4.jpg,/objects/c4.jpg,/objects/c4.jpg,alt,
C5,C5.jpg,Hoisin chicken with broccoli,S Silva,unknown,A recipe for hoisin chicken with broccoli,recipe,Digitized from personal collection,Real Simple,C5,Image;StillImage,image/jpeg,English,Copyright held by original creator. Contact for permissions.,https://rightsstatements.org/page/CNE/1.0/?language=en,image,/objects/c5.jpg,/objects/c5.jpg,/objects/c5.jpg,alt,
C6,C6.jpg,Spring Greens and Peas with Ricotta and Preserved Lemon Herb Oil,S Silva,unknown,A recipe for spring greens and peas with ricotta and preserved lemon herb oil,recipe,Digitized from personal collection,Sunset,C6,Image;StillImage,image/jpeg,English,Copyright held by original creator. Contact for permissions.,https://rightsstatements.org/page/CNE/1.0/?language=en,image,/objects/c6.jpg,/objects/c6.jpg,/objects/c6.jpg,alt,
C7,C7.jpg,Chocolate-date-oat bars,S Silva,unknown,A recipe for chocolate-date-oat bars,recipe,Digitized from personal collection,Real Simple,C7,Image;StillImage,image/jpeg,English,Copyright held by original creator. Contact for permissions.,https://rightsstatements.org/page/CNE/1.0/?language=en,image,/objects/c7.jpg,/objects/c7.jpg,/objects/c7.jpg,alt,
C8,C8.jpg,Lemony lenti soup,S Silva,unknown,A recipe for lemony lenti soup,recipe,Digitized from personal collection,Real Simple,C8,Image;StillImage,image/jpeg,English,Copyright held by original creator. Contact for permissions.,https://rightsstatements.org/page/CNE/1.0/?language=en,image,/objects/c8.jpg,/objects/c8.jpg,/objects/c8.jpg,alt,
C9,C9.jpg,Greek lamb burgers with baked eggplant fries,S Silva,unknown,A recipe for greek lamb burgers with baked eggplant fries,recipe,Digitized from personal collection,Real Simple,C9,Image;StillImage,image/jpeg,English,Copyright held by original creator. Contact for permissions.,https://rightsstatements.org/page/CNE/1.0/?language=en,image,/objects/c9.jpg,/objects/c9.jpg,/objects/c9.jpg,alt,
C10,C10.jpg,Spring vegetable pasta with pistachios,S Silva,unknown,A recipe for spring vegetable pasta with pistachios,recipe,Digitized from personal collection,Real Simple,C10,Image;StillImage,image/jpeg,English,Copyright held by original creator. Contact for permissions.,https://rightsstatements.org/page/CNE/1.0/?language=en,image,/objects/c10.jpg,/objects/c10.jpg,/objects/c10.jpg,alt,
C11,C11.jpg,Tangerine Sesame Cake,S Silva,unknown,A recipe for tangerine sesame cake,recipe,Digitized from personal collection,Sunset,C11,Image;StillImage,image/jpeg,English,Copyright held by original creator. Contact for permissions.,https://rightsstatements.org/page/CNE/1.0/?language=en,image,/objects/c11.jpg,/objects/c11.jpg,/objects/c11.jpg,alt,
